state,zip_code,population,avg_income,starbucks_count,dunkin_count
AR,71751,320,54975,0,0
AR,71752,300,39976,0,0
AR,71753,5560,53227,0,0
AR,71758,160,59225,0,0
AR,71762,1020,63886,0,0
AR,71763,550,52589,0,0
AR,71764,640,44243,0,0
AR,71765,820,44551,0,0
AR,71766,250,49036,0,0
AR,71770,1190,44904,0,0
AR,71801,5690,39836,0,0
AR,71822,3210,47235,0,0
AR,71825,250,39052,0,0
AR,71826,350,40540,0,0
AR,71827,310,39100,0,0
AR,71832,3910,41835,0,0
AR,71833,760,49827,0,0
AR,71834,440,46488,0,0
AR,71835,470,43227,0,0
AR,71836,1060,45068,0,0
AR,71837,1910,46312,0,0
AR,71838,360,35736,0,0
AR,71841,300,40296,0,0
AR,71842,780,45716,0,0
AR,71845,740,37694,0,0
AR,71846,950,46011,0,0
AR,71847,220,46377,0,0
AR,71851,830,34585,0,0
AR,71852,4000,45884,0,0
AR,71853,170,40941,0,0
AR,71854,14600,50410,1,0
AR,71855,230,35478,0,0
AR,71857,2180,40533,0,0
AR,71858,540,38801,0,0
AR,71859,130,41053,0,0
AR,71860,830,45319,0,0
AR,71861,760,56532,0,0
AR,71862,300,40173,0,0
AR,71866,210,50561,0,0
AR,71901,11510,55636,0,0
AR,71909,8700,69384,0,0
AR,71913,19590,56046,1,1
AR,71921,1140,46077,0,0
AR,71923,5650,52136,0,2
AR,71929,1910,50744,0,0
AR,71933,520,47394,0,0
AR,71935,240,35554,0,0
AR,71937,630,40147,0,0
AR,71940,550,42647,0,0
AR,71941,730,46423,0,0
AR,71943,1690,43573,0,0
AR,71944,250,41884,0,0
AR,71945,460,35852,0,0
AR,71949,710,42777,0,0
AR,71950,330,41606,0,0
AR,71953,5380,46861,0,0
AR,71956,700,37600,0,0
AR,71957,1250,46535,0,0
AR,71958,960,47611,0,0
AR,71959,250,44004,0,0
AR,71960,410,39582,0,0
AR,71961,330,48496,0,0
AR,71962,290,43558,0,0
AR,71964,1670,49135,0,0
AR,71965,130,43576,0,0
AR,71968,1910,54501,0,0
AR,71969,110,36809,0,0
AR,71970,220,38759,0,0
AR,71971,170,43076,0,0
AR,71972,130,49553,0,0
AR,71973,460,37404,0,0
AR,72001,160,40987,0,0
AR,72002,7540,62456,0,0
AR,72003,310,59561,0,0
AR,72004,430,36541,0,0
AR,72006,870,40689,0,0
AR,72007,3840,62804,0,0
AR,72010,2310,47523,0,0
AR,72011,1990,53517,0,0
AR,72012,5240,52450,0,0
AR,72013,720,47570,0,0
AR,72015,11300,52007,1,0
AR,72016,1210,57082,0,0
AR,72017,230,43078,0,0
AR,72019,11950,76228,0,0
AR,72020,1320,43808,0,0
AR,72021,1440,42497,0,0
AR,72022,7630,60282,2,1
AR,72023,15440,63000,0,0
AR,72024,1420,53713,0,0
AR,72025,310,48209,0,0
AR,72026,140,40692,0,0
AR,72027,510,48445,0,0
AR,72029,680,39500,0,0
AR,72030,230,40647,0,0
AR,72031,2690,45889,0,0
AR,72032,13560,51212,3,0
AR,72034,19990,68267,0,0
AR,72036,230,31213,0,0
AR,72039,880,46312,0,0
AR,72040,990,47948,0,0
AR,72041,500,45824,0,0
AR,72042,1920,51525,0,0
AR,72044,340,54750,0,0
AR,72045,460,63121,0,0
AR,72046,1570,48674,0,0
AR,72047,430,53186,0,0
AR,72051,210,40123,0,0
AR,72055,340,52567,0,0
AR,72057,400,53735,0,0
AR,72058,7190,63829,0,0
AR,72060,240,39500,0,0
AR,72061,180,48322,0,0
AR,72063,600,56020,0,0
AR,72064,980,51228,0,0
AR,72065,2240,58737,0,0
AR,72067,1020,53866,0,0
AR,72068,200,35930,0,0
AR,72069,480,41291,0,0
AR,72070,630,48250,0,0
AR,72072,180,41705,0,0
AR,72073,470,41936,0,0
AR,72076,15610,42926,1,0
AR,72079,310,48667,0,0
AR,72080,220,46895,0,0
AR,72081,2830,44183,0,0
AR,72082,600,30358,0,0
AR,72084,400,45765,0,0
AR,72086,4290,51945,0,0
AR,72087,670,55689,0,0
AR,72088,880,52480,0,0
AR,72101,1230,47247,0,0
AR,72102,1040,46230,0,0
AR,72103,5510,44479,0,0
AR,72104,8530,46324,0,0
AR,72106,2270,53522,0,0
AR,72110,4450,52876,0,0
AR,72111,530,55252,0,0
AR,72112,3390,44567,0,0
AR,72113,11770,75270,1,0
AR,72114,3900,31596,0,0
AR,72116,10240,74643,2,0
AR,72117,5720,36195,0,0
AR,72118,9420,42179,0,0
AR,72120,15830,64166,0,0
AR,72121,980,48501,0,0
AR,72122,510,84201,0,0
AR,72125,340,39044,0,0
AR,72126,1380,50826,0,0
AR,72127,900,50893,0,0
AR,72128,340,47797,0,0
AR,72129,550,54520,0,0
AR,72130,160,44037,0,0
AR,72131,1810,51992,0,0
AR,72132,1480,54845,0,0
AR,72134,170,51188,0,0
AR,72135,1250,113728,0,0
AR,72136,670,51046,0,0
AR,72137,930,45952,0,0
AR,72140,110,46581,0,0
AR,72141,160,36237,0,0
AR,72142,1090,68576,0,0
AR,72143,12760,58798,1,0
AR,72150,5060,58284,0,0
AR,72152,170,37011,0,0
AR,72153,870,47068,0,0
AR,72156,230,54400,0,0
AR,72157,590,47391,0,0
AR,72160,4220,58545,0,0
AR,72167,690,46072,0,0
AR,72168,100,39400,0,0
AR,72173,3960,60230,0,0
AR,72175,130,34692,0,0
AR,72176,3650,49769,0,0
AR,72179,190,44731,0,0
AR,72181,120,56008,0,0
AR,72201,570,151580,2,0
AR,72202,4400,71210,2,0
AR,72204,11910,34452,0,0
AR,72205,10480,65458,2,0
AR,72206,9020,41970,0,0
AR,72207,5330,176101,2,0
AR,72209,11950,29297,1,0
AR,72210,7020,60079,0,0
AR,72211,11130,82937,2,0
AR,72212,5780,146135,1,0
AR,72223,11340,151977,2,0
AR,72227,5370,87983,1,1
AR,72301,9560,37469,0,0
AR,72315,7750,45881,0,0
AR,72324,770,44102,0,0
AR,72326,850,42903,0,0
AR,72327,610,50224,0,0
AR,72330,190,39589,0,0
AR,72331,870,31144,0,0
AR,72333,300,39856,0,0
AR,72335,4910,36084,0,0
AR,72342,1440,44064,0,0
AR,72346,200,36015,0,0
AR,72347,240,39358,0,0
AR,72348,750,41465,0,0
AR,72350,310,39651,0,0
AR,72354,820,42602,0,0
AR,72355,830,43319,0,0
AR,72358,430,32655,0,0
AR,72360,1970,38626,0,0
AR,72364,6930,60980,0,0
AR,72365,1060,40880,0,0
AR,72366,690,44346,0,0
AR,72368,360,55275,0,0
AR,72370,2750,41104,0,0
AR,72372,690,42582,0,0
AR,72373,410,29351,0,0
AR,72374,250,41412,0,0
AR,72376,660,51742,0,0
AR,72384,290,35375,0,0
AR,72386,640,46662,0,0
AR,72390,3000,32087,0,0
AR,72392,160,45275,0,0
AR,72394,180,40294,0,0
AR,72395,380,59376,0,0
AR,72396,5110,49100,0,0
